Group Product - Employer Employee,,,,,,,Comments,
8,Modern Treatment Cover,Treatment for Advanced Technology methods as defined by IRDAI,10000 Up to In-Patient SI,300 Lacs Up to In-Patient SI,,Part Of Base SI,"No Change in PAS, only PBT languagge",
PART 1.1 - OPTIONAL COVERS,,,,,,,,
Sl No,Cover,Cover Description,Minimum Sum Insured/Limits,Maximum Sum Insured/Limits,Sublimit/ Options,,,
1,Home Care Treatment Cover,"Hospital at Home for select conditions, cashless facility through Prudential Network only-
for Specific illnesses like chemotherapy, dengue, gastroenteritis, hepatitis, peritoneal dialysis etc","Rs 10,000",300 Lacs,"Sublimit Options available: From Rs 10,000 to 1,00,000",Part Of Base SI,,
2,Road Ambulance Cover,Ambulance charges covered per hospitalization,Rs 500,5Lacs,"In multiples of 500
Cannot be claimed along with Medi Cab cover",Over & Above,Cannot be claimed along with Medi Cab cover,
3,Medi Cab Cover,Transportation of the Insured Person to the nearest Hospital and/or from Hospital to home,Rs 500,5Lacs,"On Reimbursement basis only, cannot be claimed along with Road Ambulance cover
Can take max up to 4 instances in a policy period 
Digital bill mandatory",Over & Above,Cannot be claimed along with Road Ambulance cover,
4,Air Ambulance Cover,Covers expenses towards transportation of the insured person to the nearest hospital by an air ambulance during an emergency,50000,10 Lacs,"Sublimit Options available: From Rs 50,000 to 5,00,000",Over & Above,,
5,Emergency Evacuation Cover,Covers expenses towards the arrangement of an emergency evacuation to the nearest facility capable of providing adequate care,50000,10 Lacs,"Sublimit Options available: From Rs 50,000 to 5,00,000",Over & Above,,
6,Domiciliary Hospitalization Cover,Medical expenses towards Domiciliary hospitalization covered up to Sum Insured,"1% of SI
Rs 10,000
1% max up to 10,000","100% of SI
2  300 Lacs
100% max up to 2 300 Lacs",,Part Of Base SI,"No Change in PAS, only PBT languagge",
7,Organ Donor Expense Cover,Covers Hospitalization expenses for Donor only till harvesting and covers the charges when insured person is the donor.,"1% of SI
Rs 10,000
1% max up to 10,000","100% of SI
300 Lacs
100% max up to 300 Lacs",,Part Of Base SI,,
8,Maternity Expenses Cover,"Maternity Expenses related to : Normal Delivery, Routine or elective C-section delivery ","For Normal Delivery-10,000
For C- Sec-10,000","For Normal Delivery - Upto SI (300 Lacs)
For C- Sec-Upto SI (300 Lacs)","In multiples of 5,000
Part of Base SI
Over and above base SI
Dual Maternity
Limit no of deliveries - up to 4 deliveries including twins and triplets/quadruplets- managed in policy wordings (Keep it open in wordings)",Over & Above,"No Change in PAS, only PBT languagge",
9,Maternity Cover for Complicated Pregnancy,Maternity Expenses related to complicated pregnancy,10000,Upto sum insured opted,"In multiples of 10,000
Option to choose:
a)Within maternity SI
b)Over and above maternity SI","a)Part of Maternity SI
b)Part of Base SI",,
10,New Born Medical Expenses Cover,Expenses towards treatment of a new born baby,10000,Upto sum insured opted,"In multiples of 10,000
Option to choose:
a) Within maternity SI
b)Over and above maternity SI","a)Part of Maternity SI
b)Part of Base In-Patient SI","No Change in PAS, only PBT languagge",
11,Birth Control Procedure Cover,Covers Medical expenses towards implanted/injected contraceptives surgical therapies post appropriate counselling,5000,5Lacs,"Sublimit Options available: From Rs 5,000 to 50,000",Over & Above,,
12,Infertility Treatment Cover,"Covers Medical Expenses towards diagnostic infertility services undertaken to determine the cause of infertility, treatment and procedures including artificial insemination and advanced reproductive technologies such as IVF, ZIFT, GIFT, ICSI",5000,Upto sum insured opted,"Sublimit Options available: From Rs 5,000 to Base SI",Part Of Base SI,,
13,"In-patient Hospitalisation for Surrogate Mother
Mandate by IRDAI","Incurred in respect of In Patient
Hospitalization of the Surrogate mother appointed by the
“Intending Couple”/ ”Intending woman” for complications
arising out of pregnancy and post-partum delivery
complications during the Policy Period, up to a maximum
limit of Rs. 5 Lakhs",5000,5Lacs,NA,Over & Above,,
14,"In-patient Hospitalisation for Oocyte (Egg) Donor
Mandate by IRDAI","Covers medical expenses incurred in respect of Hospitalization
of Oocyte Donor appointed by the “Intending Couple” /
”Intending woman” for complications arising out of oocyte
retrieval during the Policy Period, up to a maximum limit of
Rs. 5 Lakhs",5000,5Lacs,NA,Over & Above,,
15,Stem Cell Preservation Cover- Harvesting & Banking,"Covers processing, and storage of stem cells",5000,5Lacs,NA,Over & Above,Merging of harvesting and banking,
16,Stem Cell Preservation Cover- Banking,Cover for stem cell banking and storage at recognised centres,5000,5Lacs,NA,Over & Above,Cover supression,
17,Out-Patient Treatment Cover,"Medical Expenses incurred in respect of medical treatment availed as an Out-Patient
Anyone or Combination of the following can be opted under the cover :
1)Consultation
2)Prescribed Diagnostics
3)Pharmacy
4)OPD Minor Procedures
5)Vaccinations (WHO prescribed, for child and adults)",1000,300 Lacs,"Cover Limit Options:
1. Up to opted Sum Insured
2. Up to opted sum insured with x% co-pay, where x can be 1-50%",Over & Above,,
18,"Out-Patient Treatment for Physiotherapy, Occupational and Speech Treatment or Therapy",Covers Medical Expenses towards prescribed Physiotherapy Occupational and Speech Treatment or Therapy undertaken as an outpatient in a hospital,1000,"Rs 50,000","Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over & Above,,
19,Dental Expenses Cover,Covers Medical Expenses towards dental treatments,Rs 1000,300 Lacs,"Any one or combination of the following can be opted under the cover
1. Class1 (Investigative and preventive treatment)
2. Class2 (Basic Restorative, Periodontal Treatment)
3.Class 3(Major Restorative and Orthodontic treatment)
Limit options available:
1.Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over & Above,,
20,Vision Expense Cover,"Covers Medical Expenses incurred towards
1.Eye examination by an optometrist or ophthalmologist
2.Cost of lenses to correct refractory errors +-5",Rs 1000,Rs 2 Lacs,"Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over & Above,,
21,Routine Immunisation Cover,Covers vaccination expenses as per WHO recommendations for routine immunisation of child until 10 years of age,1000,25000,"Sublimit Options available: From Rs 1,000 to 25,000",Over & Above,,
22,Refractive Error Correction Cover,Covers medical expenses towards Laser-Assisted in Situ Keratomileusis (LASIK) surgery or any other advanced surgical procedures conducted to correct the refractive errors from +/- 4 to +/-7.5,Rs 1000,Upto SI Opted,"Sublimit Options available: From Rs 1,000 to 1 Lac",Over & Above,,
23,Sublimit on Treatment/Illness/Diseases/Surgery/Medical Conditions,"Option to restrict the payment for specified treatment of an illness/Procedure
List in Annexure",0.1,1,"Limit as per annexure attached with the Table
Option to choose-
i. Lower Limit
ii. Default Limit
iii. Higher Limit
iv. No Cap",NA,,
24,Voluntary Co-pay for Inpatient Hospitalization,Insured person will pay the percentage specified on each and every admissible claim,0.05,0.5,Voluntary co pay options available: 5% to 50% of the admissible claim amount,NA,,
25,Annual Aggregate Deductible,Deductible will be applicable on the aggregate of all claims in that policy year,5000,300 Lacs,"In the multiples 5,000",NA,,
26,Per Claim Deductible,Deductible will be applicable on each and every claim registered in the policy year,5000,300 Lacs,"In the multiples 5,000",NA,,
27,Corporate Deductible at Group Level,Deductible will be applicable on the aggregate of all admissible claims in that policy year at its group level,"a)2 Lacs
b)10%","a)100 Lacs
b)100%","Cover Limit Options:
Any options- a or b or the combination can be chosen",NA,,
28,Consumables Cover,Coverage list as per IRDAI," List 1, List 2,List 3,List 4 of IRDAI
Annexure I to wordings","list 1, List 2,List 3,List 4 of IRDAI
Annexure I to wordings",,NA,,
29,Medical Equipment Cover,Expenses covered towards below listed medical equipment prescribed or recommended by a healthcare professional up to the Sum Insured i. Ventilator ii. Wheelchair iii. Prosthetic device iv. Suction Machine v. Commode Chairs vi. Infusion pump vii. Continuous Passive motion devices in case of Knee Replacement viii. Oxygen concentrator,Covered ,Covered ,"Covers cost of prescribed medical equipment that are medically necessary
Sublimit option: Rs 5000 0 to Rs 50,000",Part Of Base SI- This should be over and above,Limit Modification,
30,Long Stay Allowance,Lump-sum amount paid to the insured for recovery after hospitalization,"Lump Sum amount- Upto RS 50,000 in multiple of 5k
 of Rs 10k/ 20k /40k in case the insured is hospitalized for more than 3/5/10 days upto30 Days","Lump Sum amount- Upto RS 50,000 in multiple of 5k
 of Rs 10k/ 20k /40k in case the insured is hospitalized for more than 3/5/10 days upto30 Days",,Over & Above,"Change in dropdown
Add Days criteria",Day 2
31,Hospital Daily Cash Cover,"Daily Cash Benefit for each continuous and completed period of
xx hours of hospitalization
for treatment of an illness or Accident","500 Per Day
Min No of days - 1 Days in a policy year
Continuous and completed period of
1/2/3/4/5 Days of hospitalization
Deductible Options: 0 Days per claim event
Limit per claim event: 1 Day","10,000 Per Day
Max No of days - 90 Days in a policy year
Continuous and completed period of
1/2/3/4/5/6/7/8/9/10 Days of hospitalization of hospitalization
Deductible Options: 3 Days per claim event
Limit per claim event: 30 Day",NA,Over & Above,,
32,Expert Opinion,Expert Opinion from our empanelled doctors once in a Policy,Once in a policy year,8 times in a policy year,"Option 1-Domestic 
Option 2- Domestic & International",NA,"Additional option to be added
Discussion with Zeeshan",
33,Virtual Consultation,Unlimited Teleconsultation with General Physician,Unlimited Teleconsultation with General Physician,Unlimited Teleconsultation with General Physician,Within Network Facility,NA,,
34,Mind Care Consultation,"Consultation or counselling with a psychologist, up to 4 sessions in a year, within Prudential Preferred Doctor Panel","Teleconsultation
Upto 1 Session per member
Cost per session- Rs 500","Teleconsultation
Upto unlimited times
Cost per session- Rs 10,000",,NA,"Add atributes for limits
Discussion with Zeeshan",
35,Pru- Health Check Up,"a. As per the plan opted- On Cashless basis
b. On Reimbursement Basis","Options to choose:
a)100
b)1%
c)Can choose from Package 1 to Package 18 (Refer Health Check Up Pakages)","Options to choose:
a)10 Lacs
b)100%
c)Can choose from below plans:Pakage 1 to Package 18 (Refer Health Check Up Pakages)","Frequency of Health check up options
1. Every Year
2.Every year after 1st renewal
3.Once in 2 Years
4.Once in 3 years
5.Once in 4 years
Dependency on claims to be selected
1. Available only subsequent to claim free years
2.Available irrespective of claim in previous year For a floater policy the cover can be further limited by selecting anyone of options listed below:
1. To primary member in a floater policy
2.To each member",NA,,
36,Secure Stay Compassionate Cover,Reimburses one way economy airfare or one way first class railway ticket for travel in India by an immediate family member to the Place of hospitalization of the insured Person (for family member in case of emergency or accident),1000,1 Lac,NA,Over & Above,Name Change,
37,Attendant Charges Cover,"Expenses for boarding and lodging of an attendant are reimbursed up to the Sum Insured if the insured’s hospital stay exceeds 5 days, upon submission of original bills as prescribed by the treating doctor",5000,300 Lacs,Covered on Reimbursement Basis,Part Of Base SI,,
38,Bariatric Surgery,Covers Bariatric surgery procedure and complications,5000,300 Lacs,"Sublimit Options available: From Rs 5,000 to 5,00,000",Part Of Base SI,,
39,Enhanced Hospitalization Cover,the base sum insured will be increased by opted percentage in case of hospitalization following an Accident Or Critical Illness,50% of the base SI,300% of the base SI,"Choose incident to be covered:
1. Accident
2.Critical Illness (Anyone or more)
3. Both Accidents and Critical Illnesses",Over & Above,"No Change in PAS, only PBT languagge",
40,Restoration of SI,Provides SI for related and unrelated illnesses in addition to the base SI opted,Ability to choose - a)from first claim onwards b)from second claim onwards,"Choose any one category:
Category 1:
Up to base SI for related illness
Category 2:
Up to base is for unrelated illness","Choose from any of the options available in a policy year:
1. once
2.2 times
3.4 times
4.9 times
5.Unlimited times",Over & Above,,
41,Corporate Buffer,"1. SI at the group/policy level
2. Choose from list-
a) Critical Illness
b) Non- Critical Illness
c) Any Illness/ Both",5000,1000 Lacs,"the cover can be limited by selecting any one option
1.Per Person Limit
2.Per policy floater limit(as a % of SI per policy year)",Over & Above,,
42,Chronic Management Programme,"OPD
Chronic care Coverage is for customers with pre-existing diseases like Diabetes, Cholesterol, Hypertension, Obesity and Asthma. This coverage is a blended offering that includes a dedicated health specialist, Doc consultation and disease-specific lab investigation expenses coverage.
Coverage like:
1. Dedicated Family Health Specialist
2. Doc consultation covers
3. Lab Investigation cover
4. Preferred Network Discount on Medicine
(This is as per the Annexure attached for Chronic Management Program)
Structured chronic-care OPD support (programme services + defined OPD entitlements) for enrolled/tagged chronic members.",Covered,NA,NA,Over & Above,,
43,Wellness Services Programme,"Wellness benefits/services as selected by the policyholder
Employer-selected preventive and lifestyle services pack, consumable within defined limits.",0.01,1,"Wellness Services:
a.Elderly Care ₹10,000/senior/year
b.Maternity Care ₹15,000/pregnancy
c.Pediatric Care ₹8,000/child/year d.Weight Loss ₹12,000/member/year
e.Gym/Fitness ₹6,000/member/year
f.Mental Wellbeing ₹10,000/member/year
g.Lifestyle Wallet ₹5,000/member/year
h.Partner/network or pre-authorised reimbursement as per programme rules",Over & Above,,
44,Hormone Replacement Therapy,"Expenses covered towards HRT
Defined OPD benefit for approved clinical indications covering consults + investigations + optional prescribed HRT medicines within strict governance.","1% 
1,000","100%
5 Lacs",NA,Part Of Base SI,Logic change from percentage to numeric,
45,Gender Reassignment Surgery,"Includes (but not limited to):
Female to Male: Urethroplasty, vaginectomy (with hysterectomy and oophorosalpingectomy), scrotoplasty, metoidioplasty/phalloplasty, mastectomy, facial hair implant, voice modulation surgery.
Male to Female: Clitoroplasty, labioplasty, orchiectomy and penectomy/scrotectomy, mammoplasty, facial feminization surgeries, facial hair removal/implant, voice modulation surgery, vaginoplasty.",50000,Upto 300 Lacs,NA,Part Of Base SI,,
46,Smart Select Network,"* 15% discount on Premium with in Network Hospital
* Non Network - 20% co pay",Covered,NA,NA,NA,,
47,Coverage Continuity in case of Job Loss,"Covers loss of employment of an insured person due to an illness/disability contracted during employment, to be continued till the end of the policy year extendable up to 6 months",500 Per Month,100 Lacs Per Month,NA,NA,,
48,Well mother Cover,"Insured Person who is less than 3 10 years of Age is Hospitalized in an ICU or a Neo-natal ICU or a Cardiac
Care Unit of a Hospital, then We will cover the Room Rent and other boarding expenses of the Insured
Person’s mother to stay with the Insured Person in the same Hospital
(Bystander Room)",500,50000,"Covered on Reimbursement Basis
Any one of the parent can be covered",Part Of Base SI,Change in age limit only,
49,Pru Health Specialist,"Pru Heath Specialist (Dedicated Specialist) to work with you on 360-degree health goals (clinical, mental, Nutrition, and Fitness): Inbound/in-app engagement
They will also help you guide you for right care and service provider.",Covered,Covered,NA,NA,,
50,Palliative Care,Coverage for palliative care treatments including emergency Hospital visits,Upto Base SI,300 Lacs,NA,Part Of Base SI,,
51,Waiver of Exclusions Cover,"Covers waiver of below exclusions (Anyone or combination)
1.Waiver of Hazardous or Adventure sports exclusion
2.Waiver of exclusion of-attempted Suicide
3.Waiver of Biodegradable Stent exclusion
4.Waiver of Cochlear implants exclusion
5.Waiver of Contact Lens exclusion
6.Waiver of Investigation & Evaluation charges for Hospitalisation (without any active line of treatment)
7.Waiver of Continuous ambulatory peritoneal dialysis (C.A.P.D.) exclusion
8.Waiver for Reasonable and Customary Charges",Covered,Covered,NA,NA,,
52,Out of pocket expense Cover,"Covers out of pocket expenses (Excluding consumables list 1,2,3 & 4)",10000,10 Lacs,NA,Part Of Base SI,,
53,Proportionate Deduction Waiver,"The Insured Person will not bear the ratable proportion on Associate medical
expenses (Room Rent actually incurred and the entitled room category/eligible Room Rent to the Room Rent
actually incurred)",Waived Off,Waived Off,This waiver is available with In-patient Hospitalization Treatment,NA,,
54,Pre-Post Natal Maternity Expenses,Pre-Post Natal Maternity Expenses to be covered,10000,Upto sum insured opted,"In multiples of 10,000
Option to choose:
a) Within maternity SI
b)Over and above maternity SI",Part Of Maternity SI,,
55,Bereavement Cover,Bereavement Cover- coverage continuity for family member,1000,500000,,Part Of Base SI,,
56,External congenital Disease Cover,To be covered,Base SI,Base SI,"We will pay the Reasonable and Customary charges for the Medical Expenses of the Insured person in respect of External Congenital Diseases which are present at birth and which may or may not be inherited provided: (a) The Benefit will not pay for any OPD treatment The payment under this benefit is within the Basic Sum Insured, subject to limits specified, if any Permanent Exclusion 5(x) of the Policy Wordings stands deleted to the extent of this Benefit only.",Part Of Base SI,,
57,Cosmetic Surgery,To be covered,Base SI,Base SI,"Notwithstanding anything to the contrary in the Policy it is hereby declared and agreed
that, on payment of additional premium, Exclusion Code 08 stands deleted.
For the purpose of this extension, expenses for cosmetic or plastic surgery or any
treatment to change appearance other than for reconstruction following an Accident,
Burn(s) or Cancer or as part of medically necessary treatment to remove a direct and
immediate health risk to the insured are included under the scope of cover up to the
limit specified in Policy Schedule.",Part Of Base SI,,
58,Animal and Snake Bite Cover,OPD for Animal and snake bite on reimbursement basis,Base SI,Base SI,,Over & Above,,
59,Mental Illness Cover,Covered,Base SI Upto Inpatient SI,Base SI Upto Inpatient SI,,Part Of Base SI,"No Change in PAS, only PBT languagge",
60,Miscellanies Corporate Buffer,,5000,1000 Lacs,,Over & Above,,
61,Well Baby Cover,,Covered,Covered,,Part Of Base SI,,
PART 2- BASE OPD,,,,,,,,
Sl No,Cover,Cover Description,Minimum Sum Insured(In Rs)/Limits,Maximum Sum Insured (In Rs)/Limits,Additional Details,,,
1,Out-Patient Treatment Cover,"Medical Expenses incurred in respect of medical treatment availed as an Out-Patient
Anyone or Combination of the following can be opted under the cover :
1)Consultation
2)Prescribed Diagnostics
3)Pharmacy
4)OPD Minor Procedures
5)Vaccinations (WHO prescribed, for child and adults)",1000,300 Lacs,"Cover Limit Options:
1. Up to opted Sum Insured
2. Up to opted sum insured with x% co-pay, where x can be 1-50%",Over and Above,"Additional items added, refer NEW OPD Tab
1. Animal and Snake Bite
2. Home Health Care Services - OPD & Wellness Cover
3. Annual Health Check-up - OPD & Wellness Cover
4. Monitoring / Medical Devices
5. Condition Management Packages
Wellness Benefits
6. Wallet",
2,"Out-Patient Treatment for Physiotherapy, Occupational and Speech Treatment or Therapy",Covers Medical Expenses towards prescribed Physiotherapy Occupational and Speech Treatment or Therapy undertaken as an outpatient in a hospital,1000,"Rs 50,000","Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over and Above,,
3,Dental Expenses Cover,Covers Medical Expenses towards dental treatments,Rs 1000,300 Lacs,"Any one or combination of the following can be opted under the cover
1. Class1 (Investigative and preventive treatment)
2. Class2 (Basic Restorative, Periodontal Treatment)
3.Class 3(Major Restorative and Orthodontic treatment)
Limit options available:
1.Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over and Above,,
4,Vision Expense Cover,"Covers Medical Expenses incurred towards
1.Eye examination by an optometrist or ophthalmologist
2.Cost of lenses to correct refractory errors(+-8)",Rs 1000,Rs 2 Lacs,"Limit options available:
1. Up to the Sum Insured
2.Up to the Sum Insured with x% co-pay
(Where x can be any number from 10-20)",Over and Above,,
5,Routine Immunisation Cover,Covers vaccination expenses as per WHO recommendations for routine immunisation of child until 10 years of age,1000,25000,"Sublimit Options available: From Rs 1,000 to 25,000",Over and Above,,
